Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm LAI SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
2010-01-01/23:00:00 0.047230918887392 0.0521139099632581 -0.0318111336125161 -0.0311590331868652 -0.0331146547903097 -0.0539686059552769 -0.0260269560798046 0.000295358707945233 2.5 23.4184058448764 71.9154989382435 107.991875250633 0 0 0.0372475337341509 0 2.27092584255591 0 0 6.2 94.8230645237949 0 
2010-01-02/00:00:00 0.047230918887392 0.0521139099632581 -0.0524554125247567 -0.0449765900876126 -0.0674052623884987 -0.0538176479783234 -0.0285359233933405 0.00416625553420373 2.5 22.7737067503259 72.1658149991829 108.114663462729 0 0 0.287238426134417 0 1.81585085 0 0 2.6 58.7558361855547 0 
2010-01-02/01:00:00 0.047230918887392 0.0521139099632581 -0.0508513790694014 -0.0439635412022248 -0.0646198757563189 -0.053740052981144 -0.0285477991039619 0.00368061992685319 2.5 22.7717386394632 72.1639468598811 108.114487729261 0 0 0.259626058938827 0 1.359012725 0 0 2.6 61.4768260799694 0 
2010-01-02/02:00:00 0.047230918887392 0.0521139099632581 -0.0485432955336565 -0.0424976578771226 -0.0606282696063532 -0.0535107764689699 -0.028558708259112 0.00323018909079887 2.5 22.7699358278405 72.1622568826404 108.114329005915 0 0 0.233467927277265 0 0.9021746 0 0 2.6 64.1978159743841 0 
2010-01-02/03:00:00 0.047230918887392 0.0521139099632581 -0.0463739372076225 -0.0411117438294395 -0.0568928392907708 -0.053143908584682 -0.0285685916861244 0.00281270370738208 2.5 22.7682976643848 72.160744495483 108.114187244141 0 0 0.20870620474169 0 0.445336475 0 0 2.6 66.9188058687988 0 
2010-01-02/04:00:00 0.047230918887392 0.0521139099632581 -0.0443467095414484 -0.0398089466666269 -0.0534175056762434 -0.0526579235003957 -0.0285775092021543 0.00242614338216808 2.5 22.7668143793547 72.1593992017695 108.114061444099 0 0 0.185284895661775 0 -0.0115016500000003 0 0 2.6 69.6397957632135 0 
2010-01-02/05:00:00 0.047230918887392 0.0521139099632581 -0.0424541505639269 -0.0385854669344681 -0.050187485574943 -0.0520696784927668 -0.0285855193994513 0.00206859351142526 2.5 22.7654765372136 72.1582108605346 108.11395063967 0 0 0.163149789536433 0 -0.468339775 0 0 2.6 72.3607856576282 0 
2010-01-02/06:00:00 0.047230918887392 0.0521139099632581 -0.0406889602644274 -0.037437523493469 -0.0471884449016098 -0.0513944628570992 -0.0285926781214722 0.00173824101580412 2.5 22.7642751496823 72.1571698097985 108.11385391029 0 0 0.142248416295742 0 -0.9251779 0 0 2.6 75.0817755520428 0 
2010-01-02/07:00:00 0.047230918887392 0.0521139099632581 -0.0390441484297938 -0.0363614532815441 -0.0444067426087642 -0.0506461188648812 -0.0285990385246685 0.00143337108298591 2.5 22.763201663572 72.1562668536914 108.113770379733 0 0 0.122530002384543 0 -1.382016025 0 0 2.6 77.8027654464575 0 
2010-01-02/08:00:00 0.047230918887392 0.0521139099632581 -0.0385475530217951 -0.0360131501984615 -0.0436137171153193 -0.0498797665602225 -0.0286174639119618 0.00688767669160518 2.5 22.7594003182969 72.1554519451647 108.113695256554 0.00281151964908823 0.0320314107712479 0.121688253192816 0.257881412267977 -1.40212968936239 0.18178486558684 164.757568948985 2.6 77.9225651621002 0 
2010-01-02/09:00:00 0.047230918887392 0.0521139099632581 -0.0792863095748425 -0.061779891549064 -0.114280899102138 -0.05057780613929 -0.0286486412895485 0.013227024357651 2.5 22.7529075952151 72.1522518444248 108.113391515684 0.00331493216448031 0.0845109746042181 0.173226177003923 0.650145161823869 -0.257147511496185 0.458298059618478 415.370520054139 2.6 71.1028958640115 0 
2010-01-02/10:00:00 0.047230918887392 0.0521139099632581 -0.131663745273763 -0.0950125058420854 -0.204928023427974 -0.0533507501324452 -0.0287051891973827 0.0226538931875897 2.5 22.7417815872898 72.1455903294935 108.112755927179 0.00477406161293002 0.130062144331433 0.274392002845333 0.932698908307943 1.60635983439923 0.657474860978208 595.890969196741 2.6 60.0035931156935 0 
2010-01-02/11:00:00 0.047230918887392 0.0521139099632581 -0.197366138512205 -0.136810132363128 -0.318415034720197 -0.058794256455615 -0.0287965180336098 0.0349296190808481 2.5 22.724296666546 72.134314890116 108.111677914692 0.00690411248300288 0.16251827226145 0.4106451575576 1.08628708083945 3.60638917792003 0.765741699808591 694.016746091872 2.6 48.0911468148228 0 
2010-01-02/12:00:00 0.0476244075647913 0.0526026392424178 -0.262005927134648 -0.177708717229411 -0.430536285487168 -0.0670834082780567 -0.0289275113822664 0.0457731427867415 2.5 22.6998275661452 72.117822379324 108.110099508891 0.00911087044447742 0.17304420957664 0.535843964228441 1.10044289927683 5.11829934370741 0.775720369962749 703.060741204641 2.6 39.0860046052704 0 
2010-01-02/13:00:00 0.0489142262443389 0.0547977168836446 -0.29667050234899 -0.200366166418393 -0.489188077397294 -0.0771100944766513 -0.0290885449582295 0.0490686327729796 2.5 22.6704874322585 72.097549115001 108.108158178945 0.0105302511713926 0.155892652937048 0.586849368183555 0.974201667987165 5.66989658817771 0.686730841560207 622.406621214022 2.6 35.8006165304667 0 
2010-01-02/14:00:00 0.0489144941105981 0.0547977168836446 -0.279723111628876 -0.190424943619781 -0.458221580892446 -0.0866448958239012 -0.0292555445189754 0.0419695082811028 2.5 22.6408467330472 72.0768782975871 108.10617803361 0.0104918089164639 0.112510944757775 0.533209456425128 0.71616651825935 5.08890826331863 0.504837603899449 457.55083111014 2.6 39.2610618703001 0 
