Time PLC_Root PLC_TL Psi_LApo Psi_TApo Psi_LSym Psi_TSym Psi_AllSoil transpiration_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 SoilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH 
1990-01-0215:00:00 0.0312 0.0313 -0.0371 -0.036 -0.0394 -0.0377 -0.0335 0.0016 6 57.7561 75.1933 75.415 75.282 75.282 55.5006 55.512 55.5106 4e-04 0.0191 0.0173 0.1834 -1.1363 0.1074 117.1504 0.4 96.9151 
1990-01-0216:00:00 0.0312 0.0313 -0.0366 -0.0357 -0.0385 -0.0374 -0.0335 0.0014 6 57.7899 75.1986 75.415 75.2852 75.2852 55.4996 55.5116 55.5102 4e-04 0 0.0163 0 -1.9492 0 0 0.4 96.9151 
1990-01-0217:00:00 0.0312 0.0313 -0.0353 -0.0348 -0.0364 -0.0368 -0.0335 0.001 6 57.7898 75.212 75.415 75.2932 75.2932 55.4992 55.5114 55.5099 0 0 0.0163 0 -1.946 0 0 0.4 96.9151 
1990-01-0218:00:00 0.0312 0.0313 -0.035 -0.0346 -0.0359 -0.0364 -0.0335 7e-04 6 57.7896 75.2152 75.415 75.2951 75.2951 55.4989 55.5112 55.5096 0 0 0.0163 0 -1.9429 0 0 0.4 96.9151 
1990-01-0219:00:00 0.0312 0.0313 -0.035 -0.0346 -0.0357 -0.0362 -0.0335 6e-04 6 57.7895 75.216 75.415 75.2956 75.2956 55.4987 55.511 55.5094 0 0 0.0163 0 -1.9397 0 0 0.4 96.9151 
1990-01-0220:00:00 0.0312 0.0313 -0.0349 -0.0345 -0.0357 -0.0361 -0.0335 6e-04 6 57.7894 75.2162 75.415 75.2957 75.2957 55.4985 55.5108 55.5092 0 0 0.0163 0 -1.9365 0 0 0.4 96.9151 
1990-01-0221:00:00 0.0312 0.0313 -0.0349 -0.0345 -0.0357 -0.036 -0.0335 6e-04 6 57.7893 75.2162 75.415 75.2957 75.2957 55.4983 55.5106 55.509 0 0 0.0163 0 -1.9333 0 0 0.4 96.9151 
1990-01-0222:00:00 0.0312 0.0313 -0.0349 -0.0345 -0.0357 -0.036 -0.0335 6e-04 6 57.7891 75.2162 75.415 75.2957 75.2957 55.498 55.5104 55.5088 0 0 0.0164 0 -1.9301 0 0 0.4 96.9151 
1990-01-0223:00:00 0.0312 0.0313 -0.0349 -0.0346 -0.0357 -0.036 -0.0335 6e-04 6 57.789 75.2162 75.415 75.2957 75.2957 55.4978 55.5102 55.5086 0 0 0.0164 0 -1.9269 0 0 0.4 96.9151 
1990-01-0300:00:00 0.0312 0.0313 -0.035 -0.0346 -0.0358 -0.0361 -0.0336 6e-04 6 57.7889 75.2155 75.415 75.2953 75.2953 55.4976 55.51 55.5084 0 0 0.0164 0 -1.9237 0 0 1.5 96.9151 
1990-01-0301:00:00 0.0312 0.0313 -0.035 -0.0346 -0.0358 -0.0361 -0.0336 6e-04 6 57.7887 75.2153 75.415 75.2952 75.2952 55.4974 55.5099 55.5082 0 0 0.0164 0 -1.9205 0 0 1.5 96.9151 
1990-01-0302:00:00 0.0312 0.0313 -0.035 -0.0346 -0.0359 -0.0361 -0.0336 6e-04 6 57.7886 75.2152 75.415 75.2951 75.2951 55.4971 55.5097 55.5079 0 0 0.0164 0 -1.9174 0 0 1.5 96.9151 
1990-01-0303:00:00 0.0312 0.0313 -0.035 -0.0346 -0.0359 -0.0361 -0.0336 6e-04 6 57.7885 75.2151 75.415 75.2951 75.2951 55.4969 55.5095 55.5077 0 0 0.0164 0 -1.9142 0 0 1.5 96.9151 
1990-01-0304:00:00 0.0312 0.0313 -0.0351 -0.0346 -0.0359 -0.0361 -0.0336 6e-04 6 57.7884 75.2151 75.415 75.2951 75.2951 55.4967 55.5093 55.5075 0 0 0.0164 0 -1.911 0 0 1.5 96.9151 
1990-01-0305:00:00 0.0312 0.0313 -0.0351 -0.0347 -0.0359 -0.0361 -0.0336 6e-04 6 57.7882 75.215 75.415 75.295 75.295 55.4964 55.5091 55.5073 0 0 0.0164 0 -1.9078 0 0 1.5 96.9151 
1990-01-0306:00:00 0.0312 0.0313 -0.0351 -0.0347 -0.0359 -0.0361 -0.0336 6e-04 6 57.7881 75.215 75.415 75.295 75.295 55.4962 55.5089 55.5071 0 0 0.0164 0 -1.9046 0 0 1.5 96.9151 
1990-01-0307:00:00 0.0312 0.0313 -0.0351 -0.0347 -0.0359 -0.0362 -0.0336 6e-04 6 57.788 75.2149 75.415 75.295 75.295 55.496 55.5087 55.5069 0 0 0.0164 0 -1.9015 0 0 1.5 96.9151 
1990-01-0308:00:00 0.0312 0.0313 -0.0351 -0.0347 -0.0359 -0.0362 -0.0336 6e-04 6 57.7856 75.2148 75.415 75.2949 75.2949 55.4957 55.5085 55.5066 0 6e-04 0.0165 0.0429 -1.8438 0.0033 27.4144 1.5 96.9151 
1990-01-0309:00:00 0.0312 0.0313 -0.0358 -0.0352 -0.0371 -0.0364 -0.0336 8e-04 6 57.7701 75.2072 75.415 75.2903 75.2903 55.4954 55.5083 55.5064 1e-04 0.0015 0.0169 0.1107 -1.4679 0.0084 70.7266 1.5 96.9151 
1990-01-0310:00:00 0.0312 0.0313 -0.0368 -0.0358 -0.0388 -0.037 -0.0336 0.0012 6 57.7438 75.1966 75.415 75.284 75.284 55.4948 55.5079 55.506 1e-04 0.0022 0.0177 0.1595 -0.8499 0.0121 101.9251 1.5 96.9151 
1990-01-0311:00:00 0.0312 0.0313 -0.0376 -0.0364 -0.0402 -0.0376 -0.0337 0.0015 6 57.7142 75.1883 75.415 75.279 75.279 55.494 55.5075 55.5055 1e-04 0.0026 0.0186 0.1861 -0.1846 0.0141 118.8837 1.5 96.9151 
1990-01-0312:00:00 0.0312 0.0313 -0.0382 -0.0368 -0.0411 -0.0381 -0.0337 0.0018 6 57.691 75.1825 75.415 75.2755 75.2755 55.4932 55.5071 55.5049 1e-04 0.0027 0.0193 0.1885 0.3181 0.0143 120.4467 1.5 96.9151 
1990-01-0313:00:00 0.0312 0.0313 -0.0385 -0.037 -0.0416 -0.0385 -0.0337 0.0019 6 57.6825 75.1797 75.415 75.2738 75.2738 55.4922 55.5065 55.5043 1e-04 0.0024 0.0195 0.1667 0.4999 0.0127 106.5077 1.5 96.9151 
1990-01-0314:00:00 0.0312 0.0313 -0.0385 -0.037 -0.0414 -0.0387 -0.0337 0.002 6 57.6917 75.1804 75.415 75.2742 75.2742 55.4913 55.506 55.5037 1e-04 0.0017 0.0193 0.1221 0.3034 0.0093 78.0164 1.5 96.9151 
1990-01-0315:00:00 0.0312 0.0313 -0.038 -0.0367 -0.0407 -0.0386 -0.0338 0.0018 6 57.7153 75.1852 75.415 75.2771 75.2771 55.4904 55.5055 55.5031 1e-04 8e-04 0.0186 0.0578 -0.2094 0.0044 36.9147 1.5 96.9151 
1990-01-0316:00:00 0.0312 0.0313 -0.0371 -0.0361 -0.0391 -0.0381 -0.0338 0.0015 6 57.7382 75.1948 75.415 75.2828 75.2828 55.4898 55.5051 55.5027 0 0 0.0179 0 -0.7215 0 0 1.5 96.9151 
1990-01-0317:00:00 0.0312 0.0313 -0.0359 -0.0353 -0.0371 -0.0375 -0.0338 0.0011 6 57.7418 75.2076 75.415 75.2905 75.2905 55.4894 55.5048 55.5023 0 0 0.0178 0 -0.8042 0 0 1.5 96.9151 
